target_id,type,items,feature_method,confidence_weight,column_start,column_count,source_kind,target,prediction,rmse,max_absolute_residual
marginal:posting_frequency,marginal,"[""posting_frequency""]",marginal,1.0,0,4,model_synthetic,"[0.20333333333333334, 0.26, 0.32, 0.21666666666666667]","[0.2010179399574366, 0.2597684136995787, 0.3214155850676783, 0.21779806127530615]",0.0014746706025398986,0.0023153933758967293
marginal:sleep_interference,marginal,"[""sleep_interference""]",marginal,1.0,4,4,model_synthetic,"[0.09000000000000001, 0.20999999999999996, 0.41, 0.29000000000000004]","[0.1016862127990619, 0.22061602957841125, 0.3830665528456799, 0.2946312047768468]",0.015780734194693703,0.026933447154320056
marginal:social_comparison,marginal,"[""social_comparison""]",marginal,1.0,8,4,model_synthetic,"[0.15, 0.29, 0.39666666666666667, 0.16333333333333333]","[0.1498889306276165, 0.29046461625129155, 0.3873082034472958, 0.17233824967379602]",0.006498029639696475,0.009358463219370894
marginal:school_effort,marginal,"[""school_effort""]",marginal,1.0,12,4,model_synthetic,"[0.03, 0.09999999999999999, 0.36333333333333334, 0.5066666666666667]","[0.03955347804632533, 0.12363257676576817, 0.33644853000874886, 0.5003654151791576]",0.018790064179520324,0.026884803324584483
marginal:academic_confidence,marginal,"[""academic_confidence""]",marginal,1.0,16,4,model_synthetic,"[0.03333333333333333, 0.09999999999999999, 0.3433333333333333, 0.5233333333333333]","[0.03296234414626049, 0.10427528055849786, 0.3426216998019883, 0.520140675493253]",0.002697922496920333,0.004275280558497865
marginal:career_clarity,marginal,"[""career_clarity""]",marginal,1.0,20,4,model_synthetic,"[0.15000000000000002, 0.37666666666666665, 0.33, 0.14333333333333334]","[0.1574458619403189, 0.3701344561275829, 0.3294428413693956, 0.14297684056270243]",0.004963570977541653,0.007445861940318876
marginal:peer_belonging,marginal,"[""peer_belonging""]",marginal,1.0,24,4,model_synthetic,"[0.06333333333333334, 0.16333333333333333, 0.4166666666666667, 0.3566666666666667]","[0.06813419931040972, 0.18700512187019264, 0.3901253006091071, 0.35473537821029033]",0.017969250638011743,0.02654136605755958
